ID,materia,codigocodif_V1,unidad,cantidad_co,valor_co,cantidad_uti,valor_uti
5986.0,MATERIALES (INVENTARIO),99999994,VALOR,0.0,1669035.0,0.0,1557660.0
10824.0,VARIOS,99999994,VALOR,0.0,4542856.923682956,0.0,3384641.923682956
16646.0,PIEDRA CALIZA,15120003,TONELADA MÉTRICA,23186.89,1051526.0,41873.0,2701859.65
16769.0,CEMENTO,37440001,KILOGRAMO,2820742.0,2401832.0,2820742.0,2401832.0
16851.0,INSUMOS VARIOS,99999994,VALOR,0.0,6470141.0,0.0,4200262.0
20746.0,POSTES DE EUCALIPTO DIFERENTES TAMAÑOS,31330002,PIEZA,180.0,198000.0,300.0,330000.0
20746.0,TUBERIAS PVC SDR 41 DIFERENTES DIAMETROS,36320001,PIEZA,690.0,1142670.0,585.0,982800.0
20746.0,CEMENTO,37440001,KILOGRAMO,250000.0,275000.0,287090.0,315800.0
20746.0,FIERRO,41261005,BARRA,1200.0,210000.0,1480.0,250000.0
20746.0,ALAMBRE DE COBRE DESNUDO DIFERENTES MEDIDAS,41513001,METRO (LINEAL),7012.0,98167.0,7012.0,98167.0
20746.0,CABLE DE ACERO,42941006,METRO (LINEAL),7100.0,46150.0,7100.0,46150.0
20746.0,CLAVOS DIFERENTES DIAMETROS,42944001,KILOGRAMO,800.0,8800.0,800.0,8800.0
20746.0,BARILLAS DE ANCLAJE,42944999,PIEZA,1200.0,74400.0,1200.0,74400.0
20746.0,LUMINARIAS CON FOTOCELULA,46510001,PIEZA,400.0,251600.0,450.0,283050.0
20746.0,ACCESORIOS,99999994,PIEZA,500.0,340000.0,390.0,265361.0
20869.0,VARIOS,99999994,VALOR,0.0,10773021.198308356,0.0,9283251.198308356
21443.0,"ENVASES, EMBALAJES y OTROS INSUMOS",99999994,VALOR,0.0,5000.0,0.0,5000.0
21730.0,PIEDRA CALIZA,15120003,TONELADA MÉTRICA,55336.0,4370474.0,56357.0,4451111.0
21730.0,OTROS MATERIALES,99999994,VALOR,0.0,2031607.0,0.0,2031606.96481915
